,manuf_id,product_id,product_rev,tech,band,subband,sig_path
0,535,510,200,NR5GSUB6,77,0,0
1,535,510,200,NR5GSUB6,77,1,0
2,535,510,200,NR5GSUB6,77,2,0
3,535,510,200,NR5GSUB6,77,3,0
4,535,510,200,NR5GSUB6,78,0,0
5,535,510,200,NR5GSUB6,78,1,0
6,535,510,200,NR5GSUB6,78,0,1
7,535,510,200,NR5GSUB6,78,1,1
8,535,510,200,NR5GSUB6,48,0,0
9,535,510,200,LTE,48,0,0
10,535,510,200,LTE,43,0,0
11,535,510,200,LTE,42,0,0
12,535,511,301,NR5GSUB6,38,0,0
13,535,511,301,NR5GSUB6,41,0,0
14,535,511,301,NR5GSUB6,41,1,0
15,535,511,301,NR5GSUB6,41,0,1
16,535,511,301,NR5GSUB6,41,1,1
17,535,511,301,LTE,41,0,1
18,535,511,301,LTE,41,1,1
19,535,511,301,LTE,41,0,0
20,535,511,301,LTE,41,1,0
21,535,511,301,LTE,38,0,0
22,535,511,301,LTE,38,0,1
23,535,430,31,WCDMA,1,0,0
24,535,430,31,WCDMA,5,0,0
25,535,430,31,WCDMA,8,0,0
26,535,430,31,LTE,1,0,0
27,535,430,31,LTE,3,0,0
28,535,430,31,LTE,5,0,0
29,535,430,31,LTE,7,0,0
30,535,430,31,LTE,8,0,0
31,535,430,31,LTE,18,0,0
32,535,430,31,LTE,19,0,0
33,535,430,31,LTE,20,0,0
34,535,430,31,LTE,26,0,0
35,535,430,31,LTE,28,0,0
36,535,430,31,LTE,28,1,0
37,535,430,31,LTE,30,0,0
38,535,430,31,LTE,38,0,0
39,535,430,31,LTE,40,0,0
40,535,430,31,LTE,41,0,0
41,535,430,31,LTE,41,1,0
42,535,430,30,LTE,1,0,0
43,535,430,30,LTE,3,0,0
44,535,430,30,LTE,5,0,0
45,535,430,30,LTE,7,0,0
46,535,430,30,LTE,8,0,0
47,535,430,30,LTE,18,0,0
48,535,430,30,LTE,19,0,0
49,535,430,30,LTE,20,0,0
50,535,430,30,LTE,26,0,0
51,535,430,30,LTE,28,0,0
52,535,430,30,LTE,28,1,0
53,535,430,30,LTE,38,0,0
54,535,430,30,LTE,40,0,0
55,535,430,30,LTE,41,0,0
56,535,430,31,NR5GSUB6,1,0,0
57,535,430,31,NR5GSUB6,3,0,0
58,535,430,31,NR5GSUB6,5,0,0
59,535,430,31,NR5GSUB6,7,0,0
60,535,430,31,NR5GSUB6,18,0,0
61,535,430,31,NR5GSUB6,20,0,0
62,535,430,31,NR5GSUB6,38,0,0
63,535,430,31,NR5GSUB6,40,0,0
64,535,430,31,NR5GSUB6,8,0,0
65,535,430,31,NR5GSUB6,26,0,0
66,535,430,31,NR5GSUB6,28,0,0
67,535,430,31,NR5GSUB6,28,1,0
68,535,430,31,NR5GSUB6,38,0,0
69,535,430,31,NR5GSUB6,41,0,0
70,535,430,31,NR5GSUB6,41,1,0
71,535,430,30,NR5GSUB6,1,0,0
72,535,430,30,NR5GSUB6,3,0,0
73,535,430,30,NR5GSUB6,5,0,0
74,535,430,30,NR5GSUB6,7,0,0
75,535,430,30,NR5GSUB6,8,0,0
76,535,430,30,NR5GSUB6,18,0,0
77,535,430,30,NR5GSUB6,20,0,0
78,535,430,30,NR5GSUB6,26,0,0
79,535,430,30,NR5GSUB6,28,0,0
80,535,430,30,NR5GSUB6,28,1,0
81,535,430,30,NR5GSUB6,38,0,0
82,535,430,30,NR5GSUB6,40,0,0
83,535,430,30,NR5GSUB6,41,0,0
84,535,430,30,NR5GSUB6,41,1,0
