,pwr,vcc,icq
0,26,5000,26730
1,25,4500,26730
2,24,4300,26730
3,23,3800,26716
4,22,3600,24667
5,21,3400,22633
6,20,3200,22633
7,19,3000,22633
8,18,2800,21256
9,17,2900,21256
10,16,2700,21256
11,15,2500,21256
12,14,2300,20584
13,13,2100,20584
14,12,1900,20584
15,11,1900,20584
16,10,1900,20584
17,9,1900,20584
18,8,1900,20584
19,26,5000,26715
20,25,4500,26715
21,24,4300,26730
22,23,3800,24682
23,22,3600,22633
24,21,3400,22633
25,20,3200,22633
26,19,3000,22633
27,18,2800,20584
28,17,2900,20584
29,16,2700,20584
30,15,2500,20584
31,14,2300,20584
32,13,2100,20584
33,12,1900,20584
34,11,1900,20584
35,10,1900,20584
36,9,1900,20584
37,8,1900,20584
38,26,5000,26730
39,25,4500,26730
40,24,4300,26730
41,23,3800,26716
42,22,3600,24667
43,21,3400,22633
44,20,3200,22633
45,19,3000,22633
46,18,2800,21256
47,17,2900,21256
48,16,2700,21256
49,15,2500,21256
50,14,2300,20584
51,13,2100,20584
52,12,1900,20584
53,11,1900,20584
54,10,1900,20584
55,9,1900,20584
56,8,1900,20584
57,26,5000,26715
58,25,4500,26715
59,24,4300,26730
60,23,3800,24682
61,22,3600,22633
62,21,3400,22633
63,20,3200,22633
64,19,3000,22633
65,18,2800,20584
66,17,2900,20584
67,16,2700,20584
68,15,2500,20584
69,14,2300,20584
70,13,2100,20584
71,12,1900,20584
72,11,1900,20584
73,10,1900,20584
74,9,1900,20584
75,8,1900,20584
76,26,5000,26715
77,25,4500,26715
78,24,4300,26730
79,23,3800,24682
80,22,3600,22633
81,21,3400,22633
82,20,3200,22633
83,19,3000,22633
84,18,2800,20584
85,17,2900,20584
86,16,2700,20584
87,15,2500,20584
88,14,2300,20584
89,13,2100,20584
90,12,1900,20584
91,11,1900,20584
92,10,1900,20584
93,9,1900,20584
94,8,1900,20584
95,26,4500,17512
96,25,4500,17512
97,24,4300,17512
98,23,3800,17512
99,22,3600,17512
100,21,3400,17512
101,20,3200,17512
102,19,3000,16488
103,18,2800,16488
104,17,2900,16488
105,16,2700,16488
106,15,2500,16488
107,14,2300,16488
108,13,2100,16488
109,12,1900,16488
110,11,1900,16488
111,10,1900,16488
112,9,1900,16488
113,8,1900,16488
114,26,4500,26730
115,25,4500,26730
116,24,4300,26730
117,23,3800,24682
118,22,3600,22633
119,21,3400,22633
120,20,3200,22633
121,19,3000,22633
122,18,2800,20584
123,17,2900,20584
124,16,2700,20584
125,15,2500,20584
126,14,2300,20584
127,13,2100,20584
128,12,1900,20584
129,11,1900,20584
130,10,1900,20584
131,9,1900,20584
132,8,1900,20584
133,26,4500,17512
134,25,4500,17512
135,24,4300,17512
136,23,3800,17512
137,22,3600,17512
138,21,3400,17512
139,20,3200,17512
140,19,3000,16488
141,18,2800,16488
142,17,2900,16488
143,16,2700,16488
144,15,2500,16488
145,14,2300,16488
146,13,2100,16488
147,12,1900,16488
148,11,1900,16488
149,10,1900,16488
150,9,1900,16488
151,8,1900,16488
152,26,4500,26730
153,25,4500,26730
154,24,4300,26730
155,23,3800,24682
156,22,3600,22633
157,21,3400,22633
158,20,3200,22633
159,19,3000,22633
160,18,2800,20584
161,17,2900,20584
162,16,2700,20584
163,15,2500,20584
164,14,2300,20584
165,13,2100,20584
166,12,1900,20584
167,11,1900,20584
168,10,1900,20584
169,9,1900,20584
170,8,1900,20584
171,26,4500,26730
172,25,4500,26730
173,24,4300,26730
174,23,3800,24682
175,22,3600,22633
176,21,3400,22633
177,20,3200,22633
178,19,3000,22633
179,18,2800,20584
180,17,2900,20584
181,16,2700,20584
182,15,2500,20584
183,14,2300,20584
184,13,2100,20584
185,12,1900,20584
186,11,1900,20584
187,10,1900,20584
188,9,1900,20584
189,8,1900,20584
190,17,2900,12790
191,16,2700,12790
192,15,2500,12790
193,14,2300,12790
194,13,2200,12790
195,12,2000,12790
196,11,1800,12790
197,10,1600,12790
198,9,1400,12790
199,8,1300,12678
200,7,1300,12676
201,6,1200,12674
202,5,1200,12662
203,4,1100,12630
204,3,1100,11338
205,2,1100,11338
206,1,900,11338
207,0,900,11338
208,-1,900,11338
209,17,2800,20616
210,16,2700,20616
211,15,2500,20616
212,14,2300,20615
213,13,2200,20616
214,12,2000,20616
215,11,1800,18566
216,10,1600,18566
217,9,1400,18566
218,8,1300,18566
219,7,1300,18566
220,6,1200,18566
221,5,1200,18566
222,4,1100,18566
223,3,1100,18566
224,2,1100,18566
225,1,900,18566
226,0,900,18566
227,-1,900,18566
228,17,2900,12790
229,16,2700,12790
230,15,2500,12790
231,14,2300,12790
232,13,2200,12790
233,12,2000,12790
234,11,1800,12790
235,10,1600,12790
236,9,1400,12790
237,8,1300,12678
238,7,1300,12676
239,6,1200,12674
240,5,1200,12662
241,4,1100,12630
242,3,1100,11338
243,2,1100,11338
244,1,900,11338
245,0,900,11338
246,-1,900,11338
247,17,2800,20616
248,16,2700,20616
249,15,2500,20616
250,14,2300,20615
251,13,2200,20616
252,12,2000,20616
253,11,1800,18566
254,10,1600,18566
255,9,1400,18566
256,8,1300,18566
257,7,1300,18566
258,6,1200,18566
259,5,1200,18566
260,4,1100,18566
261,3,1100,18566
262,2,1100,18566
263,1,900,18566
264,0,900,18566
265,-1,900,18566
266,17,2800,20616
267,16,2700,20616
268,15,2500,20616
269,14,2300,20615
270,13,2200,20616
271,12,2000,20616
272,11,1800,18566
273,10,1600,18566
274,9,1400,18566
275,8,1300,18566
276,7,1300,18566
277,6,1200,18566
278,5,1200,18566
279,4,1100,18566
280,3,1100,18566
281,2,1100,18566
282,1,900,18566
283,0,900,18566
284,-1,900,18566
285,6,1000,18500
286,5,1000,18500
287,4,1000,18500
288,3,1000,18500
289,2,1000,18500
290,1,1000,18500
291,0,1000,18500
292,-1,1000,18500
293,-2,1000,18500
294,-3,1000,18500
295,-4,700,18500
296,-5,700,18500
297,-6,700,18500
298,-7,700,18500
299,-8,700,18500
300,-20,700,18500
301,6,1000,18500
302,5,1000,18500
303,4,1000,18500
304,3,1000,18500
305,2,1000,18500
306,1,1000,18500
307,0,1000,18500
308,-1,1000,18500
309,-2,1000,18500
310,-3,1000,18500
311,-4,700,18500
312,-5,700,18500
313,-6,700,18500
314,-7,700,18500
315,-8,700,18500
316,-20,700,18500
317,6,1000,18500
318,5,1000,18500
319,4,1000,18500
320,3,1000,18500
321,2,1000,18500
322,1,1000,18500
323,0,1000,18500
324,-1,1000,18500
325,-2,1000,18500
326,-3,1000,18500
327,-4,700,18500
328,-5,700,18500
329,-6,700,18500
330,-7,700,18500
331,-8,700,18500
332,-20,700,18500
333,6,1000,34484
334,5,1000,34484
335,4,1000,34484
336,3,1000,34484
337,2,1000,18500
338,1,1000,18500
339,0,1000,18500
340,-1,1000,18500
341,-2,1000,18500
342,-3,1000,18500
343,-4,700,18500
344,-5,700,18500
345,-6,700,18500
346,-7,700,18500
347,-8,700,18500
348,-20,700,18500
349,6,1000,18500
350,5,1000,18500
351,4,1000,18500
352,3,1000,18500
